subject_id,candidate,role,score,negative_training_score,margin
CLIENT-MOUSE-0030,F_photometric_unknown_full_field,exploratory_held_out_positive,0.47829178010784346,0.30274438668178943,0.17554739342605402
CLIENT-MOUSE-0031,F_photometric_unknown_full_field,exploratory_held_out_positive,0.47337656402996797,0.29733647233445626,0.1760400916955117
CLIENT-MOUSE-0032,F_photometric_unknown_full_field,exploratory_held_out_positive,0.8438884915600197,0.32092214099821664,0.522966350561803
CLIENT-MOUSE-0033,F_photometric_unknown_full_field,exploratory_held_out_positive,0.6673157037086674,0.3246287963832663,0.34268690732540114
CLIENT-MOUSE-0034,F_photometric_unknown_full_field,exploratory_held_out_positive,0.7578162110468791,0.3310687480560952,0.4267474629907839
CLIENT-MOUSE-0035,F_photometric_unknown_full_field,exploratory_held_out_positive,0.8169965228064792,0.3133959994569143,0.5036005233495648
CLIENT-MOUSE-0036,F_photometric_unknown_full_field,exploratory_held_out_positive,0.5673843326482114,0.3197029499632275,0.2476813826849839
CLIENT-MOUSE-0037,F_photometric_unknown_full_field,exploratory_held_out_positive,0.6957686226577013,0.33135258821433833,0.364416034443363
CLIENT-MOUSE-0038,F_photometric_unknown_full_field,all_subject_fit_negative_NOT_TEST,0.3182843431483159,,
CLIENT-MOUSE-0030,F_photometric_0038_anchor_unknown_full_field,exploratory_held_out_positive,0.6239549750521959,0.24227477908009193,0.38168019597210395
CLIENT-MOUSE-0031,F_photometric_0038_anchor_unknown_full_field,exploratory_held_out_positive,0.5824262800532045,0.23910563619172193,0.3433206438614826
CLIENT-MOUSE-0032,F_photometric_0038_anchor_unknown_full_field,exploratory_held_out_positive,0.862903566061442,0.252293312778207,0.610610253283235
CLIENT-MOUSE-0033,F_photometric_0038_anchor_unknown_full_field,exploratory_held_out_positive,0.7903051580733487,0.25104672367043945,0.5392584344029092
CLIENT-MOUSE-0034,F_photometric_0038_anchor_unknown_full_field,exploratory_held_out_positive,0.7938640967634526,0.25873045290113705,0.5351336438623155
CLIENT-MOUSE-0035,F_photometric_0038_anchor_unknown_full_field,exploratory_held_out_positive,0.7858529426127155,0.24302990630650909,0.5428230363062064
CLIENT-MOUSE-0036,F_photometric_0038_anchor_unknown_full_field,exploratory_held_out_positive,0.6253082477920638,0.24986088099984272,0.3754473667922211
CLIENT-MOUSE-0037,F_photometric_0038_anchor_unknown_full_field,exploratory_held_out_positive,0.7625308782476649,0.2590852860652158,0.503445592182449
CLIENT-MOUSE-0038,F_photometric_0038_anchor_unknown_full_field,all_subject_fit_negative_NOT_TEST,0.2458875202770792,,
CLIENT-MOUSE-0030,A_reencoded_global,exploratory_held_out_positive,0.8641946047786602,0.014130348223764154,0.850064256554896
CLIENT-MOUSE-0031,A_reencoded_global,exploratory_held_out_positive,0.9272978579851267,0.015163589828733436,0.9121342681563932
CLIENT-MOUSE-0032,A_reencoded_global,exploratory_held_out_positive,0.9326460170707076,0.01497742330108148,0.9176685937696262
CLIENT-MOUSE-0033,A_reencoded_global,exploratory_held_out_positive,0.9780319418015128,0.014562658646871994,0.9634692831546408
CLIENT-MOUSE-0034,A_reencoded_global,exploratory_held_out_positive,0.8588223748568758,0.01414047814684453,0.8446818967100314
CLIENT-MOUSE-0035,A_reencoded_global,exploratory_held_out_positive,0.8612356957817525,0.014978942170512577,0.84625675361124
CLIENT-MOUSE-0036,A_reencoded_global,exploratory_held_out_positive,0.8692448947656309,0.014885580797855248,0.8543593139677756
CLIENT-MOUSE-0037,A_reencoded_global,exploratory_held_out_positive,0.9665298128245907,0.015080640763822305,0.9514491720607684
CLIENT-MOUSE-0038,A_reencoded_global,all_subject_fit_negative_NOT_TEST,0.015111505221122425,,
